folder_name,root_name,child_name,years,months,days,speaker,text,CHI_response,adult_coherence_score,child_coherence_score
Bohannon/Nat,harvey,Nathaniel,3.0,0.0,,MOT,don't do that. what's this?,me. Nath that's Nathaniel.,0.8,0.8
Gelman/2014-IndDiff,69C-R1,,4.0,9.0,5.0,INV,what more can you tell me?,well I saw I saw lobsters at Meijer.,0.8,0.6
Gelman/2014-IndDiff,14C-R2,,5.0,0.0,14.0,INV,well what more can you tell me?,um these pieces of bread are for eating. but Zorgy cannot eat. well Zorg let me get you a smaller piece and make you feel better a little bit. you.,0.8,0.4
Gelman/2016-Robodog,42,,3.0,6.0,,MOT,yellow. what's this one?,orange.,0.9,0.9
Gopnik/questionnaire,q05911,Student,3.0,0.0,,INT,yeah. what's he doing?,he will snatch a present.,0.8,0.8
Brown/Adam,030011,Adam,3.0,0.0,11.0,MOT,I went for a walk tonight and what did I see?,I saw a barn. I saw a house and barn. I saw a tree. I saw a bird. I funny.,0.8,0.7
NewmanRatner/11,6314AK,6314AK11,0.0,11.0,,MOT,where's the baby? who's this? is that the baby? oh. you're giving the baby a kiss? aw that's nice. that's nice I'd never seen you do that before. was that your first time giving the baby some love? oh love the baby. nice baby. go. what's her name? what's the baby's name? should we call her bika bika?,bika bika.,0.9,0.9
HSLLD/HV7/MT,jesmt7,,9.0,10.0,16.0,MOT,really? what's. the rule?,not to eat in other people's rooms.,0.9,0.9
Weist/Roman,020626,Roman,2.0,6.0,26.0,JEN,I know Roman can you tell me what kind of ball this is?,a football.,0.9,0.9
Valian,13b,,2.0,4.0,8.0,MOT,"yes? now, Child, there's one thing we hafta be careful about. let's not mix up all your cars and trucks with Investigator's. okay? let's keep all of yours over here. and you keep, you keep Investigator's on the carpet, okay?",I see.,0.9,0.6
Suppes,020426,Nina,2.0,4.0,26.0,MOT,what's for your dolly?,that's for my other dolly. open that.,0.8,0.8
Gleason/Father,victor,Victor,2.0,5.0,3.0,FAT,"okay, so you have milk. and tea to drink. what've you gotta eat?","oh, I will eat this. what what is this, man?",0.9,0.7
Hall/WhitePro,maa,Matthew,4.0,9.0,,MOT,what are you trying to do?,put it in that a little bit of that on the.,0.8,0.5
Gelman/2004-Gender,67,,6.0,4.0,17.0,MOT,who delivers our newspaper?,a man he some people like someone like at work.,0.9,0.8
Gelman/2014-IndDiff,07C-R1,,4.0,8.0,28.0,INV,what more can you tell me?,it's orange and a green.,0.8,0.6
Weist/Matt,030727,Matt,3.0,7.0,27.0,RYA,so what'd you do at school today?,I had a pretty good day.,0.9,0.8
Weist/Emily,020718,Emily,2.0,7.0,18.0,CAR,he let you borrow his watch huh?,I don't let him borrow my watch.,0.9,0.8
HSLLD/HV5/MT,zenmt5,,7.0,7.0,17.0,MOT,forks! I have one for me. you need one for you and Sis. what?,need one.,0.7,0.8
Weist/Matt,020504,Matt,2.0,5.0,4.0,MOT,it doesn't get broken. oh look what this guy. you know who did this come with?,Woody.,0.4,0.9
PetersonMcCabe,88,Mary,9.0,3.0,,INV,do you have any other pets?,"my dad was working once and he saw this little cat. and he came and hit him across the face. and he played with him a while. then when it was dark it got mad and it walked away. and we didn't have no cat then. so he said he hadta show us something. and so he went and showed us a cat. and Ma thought and she goes. we'll take it. it was a stray cat. to be a stray cat, he's got a_lot_of things. he even gets Christmas presents.",0.8,0.9
Demetras2/Michael/father,020222,Michael,2.0,2.0,22.0,FAT,okay. how many? you wanted?,one. two. four. five. six. sevens. eight. nine. ten. ah.,0.7,0.4
Gleason/Father,charlie,Charlie,2.0,11.0,17.0,FAT,no? you don't wanna give it a name?,no.,0.8,0.8
Gelman/2014-IndDiff,02C-R1,,4.0,10.0,22.0,INV,what more can you tell me?,they snap.,0.4,0.7
Brown/Sarah,030103,Sarah,3.0,1.0,3.0,MOT,yeah. I know it's cold. it always is. oops. be careful. you'll fall. don't do that. here. wipe it up. here. Sarah! Uncle Pat's looking for his pigeons. see? come here. see Uncle Pat up there on the roof?,I see him.,0.6,0.9
Valian,21b,,2.0,6.0,12.0,MOT,"how_about some other toys? I'd like to make a barnyard for your animals, that's what I'd like to do. make a big barn for the animals, and a farmyard. hm?",here's something that we could make.,0.8,0.8
Hall/BlackPro,voh,Von,4.0,9.0,,TEA,okay? can you tell let's look at the front of this book first. okay let's look. there are many different parts to this book. how many parts are there?,I can read this.,0.8,0.7
NewmanRatner/24,5777FC,5777FC24,2.0,0.0,,MOT,okay can you look at it and tell me what kind of juice it is?,yyy.,0.8,0.2
Gleason/Mother,wanda,Wanda,3.0,11.0,22.0,MOT,those are the hubcaps?,they're the screws.,0.8,0.8
HSLLD/HV1/BR,rasbr1,,5.0,0.0,8.0,MOT,here is a shiny new quarter for me hope this has been a good day love the tooth fairy. p I though you would wanna save your tooth for a while so I returned it to you. Becky was sitting on her bed looking miserable but something made her check under her pillow. there's an envelope under my pillow too she yelled across the room and it's lumpy! Becky ripped open the envelope and inside she found a letter and a shiny new quarter. what did the tooth fairy tell you Bumper asked. and not one minute sooner. no. Becky read your tooth will come out when it's ready and not one minute sooner. in the mean time make every day a good day. let's go thank the tooth fairy they both said together and that's just what Bumper and Becky did. now what happened? you know what happened?,he gave it to the tooth fairy.,0.9,0.8
Bohannon/Bax,mari,Baxter,3.0,0.0,,MAR,that's red! what color is this?,red. blue.,0.9,0.7
NewmanRatner/11,6626SW,6626SW11,0.0,11.0,,MOT,yeah. zebras have stripes. see all these stripes? shake shake shake. shake shake shake. you gonna play with the clock? you liked the clock last time. are you moving the hands on the clock? you can just move them around in a circle. yeah? shake shake shake. yeah what do we have here? ice cream cone? it's not as fun to shake is it? doesn't have liquid in it. mm let's see. see if you would recognize any of these things. spaghetti?,yyy.,0.8,0.2
HSLLD/HV3/TP,tomtp3,,5.0,11.0,13.0,MOT,what's our telephone number?,four six. nine. o. eight. eight. eight.,0.9,0.8
Kuczaj,030622,Abe,3.0,6.0,22.0,FAT,let's think. what could you look for?,look for milk.,0.8,0.8
Weist/Matt,020400,Matt,2.0,4.0,0.0,MOT,what did you just do with that tractor? oh my gosh what did you just do with that tractor?,I ate it.,0.9,0.2
Weist/Emily,040216,Emily,4.0,2.0,16.0,CAR,"you wouldn't be able to teach me, right. so I hafta do what to this. butterfly button? what do I hafta do to this button?",press it down.,0.8,0.9
MacWhinney,021109,Ross,2.0,11.0,9.0,FAT,oh good. Ross do you play with Cassie anymore?,no.,0.9,0.9
Clark,021110a,Shem,2.0,11.0,10.0,INV,no? well. Anna likes to play with these. so. are you gonna take the bus anywhere? are they gonna go anywhere on the bus?,yep. they gonna go after on. they gonna go to to a school.,0.8,0.7
HSLLD/HV2/MT,rosmt2,,4.0,9.0,7.0,FAT,now I want you to work on the food. and then you can have some more okay?,mm?,0.9,0.3
Gelman/2014-IndDiff,63C-P2,,4.0,6.0,18.0,MOT,you think she broke her arm?,mhm.,0.9,0.9
Gelman/2014-IndDiff,03C-P2,,5.0,0.0,25.0,MOT,leaves. good. what kind of color is this?,orange.,0.9,0.9
PetersonMcCabe,40,Mary,5.0,8.0,,INV,when you went to zoo?,no when I had the chicken pox I went.,0.8,0.4
Brown/Sarah,030103,Sarah,3.0,1.0,3.0,MOT,how'd ya get the cut?,on the swing. pushing that.,0.9,0.8
Gelman/2016-Robodog,51,,5.0,6.0,,MOT,I don't think so. look when you pushed it though that thing jumps up right there. what is that?,it's a da nortor.,0.8,0.5
HSLLD/HV3/MT,todmt3,,5.0,6.0,28.0,MOT,that's true. you could try it. shh! who are you going to kiss?,Sis.,0.8,0.9
Bates/Snack28,steve,Steve,2.0,4.0,,MOT,okay. will you get some butter for me? where're you going? hm?,I going yyy.,0.8,0.4
Gelman/2014-IndDiff,03C-P2,,5.0,0.0,25.0,MOT,it's something that you like. what is this?,cookie.,0.9,0.9
HSLLD/HV2/MT,inamt2,,4.0,6.0,4.0,MOT,you would give away all your stuff?,yes and then I would get some more stuff!,0.9,0.8
Gelman/2014-IndDiff,04C-P2,,4.0,5.0,6.0,MOT,hey. come here. what are you looking for?,boo.,0.9,0.4
HSLLD/HV2/BR,jambr2,,4.0,9.0,30.0,MOT,okay it says in the light of the moon. a little egg lay on a leaf. one Sunday morning the warm sun came up and pop out_of the egg came a tiny and very hungry caterpillar. where is he? you turn it. wanna do it?,mhm. mm.,0.9,0.5
Suppes,030224,Nina,3.0,2.0,24.0,MOT,well where is the other one? you had two. where did you put the other one?,here.,0.9,0.7
HSLLD/HV5/MT,casmt5,,7.0,5.0,3.0,MOT,you wanna go to practice?,yes.,0.9,0.9
Bohannon/Bax,karen,Baxter,3.0,0.0,,KAR,do you take baths every night and brush your teeth?,I brush morning.,0.8,0.6
Suppes,020406,Nina,2.0,4.0,6.0,MOT,those are flowers. that's right. the airplane can fly on top of the whole city. and look down and see flowers. and houses. and then he comes zoom into the airport. this turns around. see. these are propellers. can you turn the propeller around?,round and round.,0.8,0.8
Bohannon/Nat,noel,Nathaniel,3.0,0.0,,NNN,what's your Mommy doing over there now?,"knit making, knitting!",0.9,0.9
HSLLD/HV1/TP,tritp1,,4.0,0.0,9.0,MOT,mhm. do you know where kangaroos come from?,no.,0.9,0.9
Higginson/May,may01,May,0.0,11.0,,MOT,boom. sings pattycake. pattycake. baker's man. oh. you gave your monkey a kiss. that was pretty nice. where's the baby?,baby.,0.8,0.7
Suppes,020122,Nina,2.0,1.0,22.0,MOT,that's a little snowman. do you wanna put the eye on?,uhhuh.,0.9,0.8
Brown/Sarah,040522,Sarah,4.0,5.0,22.0,MOT,you're not being a very good girl today. huh?,Mommy. I want tunafish now.,0.8,0.4
Demetras2/Jimmy/father,020914,Jimmy,2.0,9.0,14.0,FAT,it is? let me see you walk like a rooster. what does a rooster say?,bong.,0.9,0.7
Gelman/2014-IndDiff,35C-P2,,4.0,5.0,15.0,MOT,it's about time for Mom to make some popcorn again isn't it?,and a horse. is that all of them?,0.8,0.4
Gelman/2014-IndDiff,17C-P1,,4.0,7.0,31.0,MOT,he did? can you teach me?,you throw the ball you tackle somebody down.,0.9,0.8
Brown/Adam,030126,Adam,3.0,1.0,26.0,MOT,would you show me how?,put it up. that's right. and push it. down. you push down. and play with the. now. Mommy. you blow that up. that's for skiing.,0.9,0.8
Gleason/Mother,theresa,Theresa,4.0,0.0,,MOT,you're repairing the car?,now I think I can do it with my hands.,0.8,0.7
Weist/Roman,030925,Roman,3.0,9.0,25.0,MOT,"Roman, when did you go to the carnival?","know what, look at that, I made this.",0.8,0.4
VanHouten/Threes/freeplay,goosef,Christopher,3.0,7.0,12.0,INV,okay take them off cause I wanna go on. I wanna go on. I'll sit on the bench and wait okay? is it okay if I sit on the bench and wait? Christopher. hey what are you doing in there? what are you doing in there? Christopher what are they doing in there?,they're trying to get it off in there.,0.8,0.7
Brown/Sarah,040111,Sarah,4.0,1.0,11.0,MEL,what's out there? why don't you come here?,my bangs are sticking down. huh?,0.7,0.2
MacWhinney,020915,Ross,2.0,9.0,15.0,FAT,if I give it to you will you go to bed?,I want my tape too. do you wanna see me put on my shoes? would you take this off? this is my lion tail. he pointed to the tail. first I go pee_pee and then I go take a bath. I jumped to preschool. Ross is using a_lot_of nice past tenses. the witch can't get your little boys? your little boys can't get hurt from the witch? will you let me listen to my Charley Brown now? hi. this is my hat. do you want my hat? don't drop my Ross hat. the trees knocked my fireman hat off.,0.8,0.3
Clark,020523,Shem,2.0,5.0,23.0,INV,they don't get bigger?,this is bigger.,0.9,0.8
Gelman/2014-IndDiff,53C-P2,,5.0,0.0,29.0,MOT,pumpkin. what would you do with a pumpkin if you had one?,carve.,0.9,0.9
Brown/Eve,020200b,Eve,2.0,2.0,0.0,COL,there's one. oh. what's that? what's that part there?,a chin.,0.9,0.9
Gelman/2014-IndDiff,47C-R1,,4.0,5.0,12.0,INV,mm. what more can you tell me?,"that's all I can tell you, remember?",0.8,0.8
Weist/Roman,020521,Roman,2.0,5.0,21.0,JEN,yes you did. and. what_about. what's this?,I don't know.,0.9,0.5
Kuczaj,040601,Abe,4.0,6.0,1.0,MOT,uhhuh did you think that was funny?,uhhuh my my feet weren't holding onto the rug. so I fell. I fell.,0.8,0.8
Brown/Adam,020430,Adam,2.0,4.0,30.0,MOT,little boy's mitten? what's the little boy's name?,little boy sleeping.,0.9,0.7
McCune/Jase,011000,Jase,1.0,10.0,0.0,MOT,oh. thank_you. are these the diapers? diapers. is that a hammer?,hammer.,0.9,0.9
Valian,19b,,2.0,8.0,24.0,MOT,"yeah, what shape is that, do you know?","it can go in the, go in here.",0.8,0.6
HSLLD/HV2/ER,geoer2,,4.0,8.0,14.0,MOT,what did the man say?,everybody close your ears!,0.9,0.8
Hall/BlackWork,kmf,Kim,4.0,9.0,,EXP,oh in about three or four minutes. hear that? hear the ticking?,look I.,0.9,0.4
MacWhinney,030018a,Ross,3.0,0.0,18.0,FAT,what are we going to do there?,we're going to play there.,0.9,0.9
Brown/Adam,040115,Adam,4.0,1.0,15.0,MOT,okay. is it Paul's turn?,he may have it tomorrow.,0.9,0.8
Weist/Jillian,020108,Jillian,2.0,1.0,8.0,JEN,"oh, you know what else? I bet maybe in here, inside here, there might be something too, for Rocky. it's a refrigerator. it's a pretend refrigerator. what do you think is inside?","it's the freezer. Rocky, Rocky!",0.9,0.8
Gelman/2014-IndDiff,23C-P1,,4.0,6.0,30.0,MOT,anything that you grow?,mhm.,0.7,0.3
HSLLD/HV1/TP,trutp1,,3.0,9.0,30.0,MOT,you saw a dinosaur at the zoo?,remember?,0.9,0.4
Gelman/2014-IndDiff,12C-R2,,4.0,9.0,31.0,INV,"well, what else can you tell me?",all I know is the seats.,0.8,0.5
Brown/Adam,020512,Adam,2.0,5.0,12.0,MOT,Adam. what are you doing?,go hill.,0.9,0.7
HSLLD/HV1/BR,rembr1,,3.0,11.0,29.0,MOT,mm. quick cat quick! who runs snip snap around the corner between the bottles getting closer? see dog's getting closer. to who? what's this?,to the bottles. dog.,0.8,0.9
Suppes,020418,Nina,2.0,4.0,18.0,MOT,who gave it to you? is that for me?,uhhuh.,0.8,0.5
